step	epoch
25049	14
25099	14
25149	14
25199	14
25249	14
25299	14
25349	14
25399	14
25449	14
25499	14
25544	14
25544	14
25549	15
25599	15
25649	15
25699	15
25749	15
25799	15
25849	15
25899	15
25949	15
25999	15
26049	15
26099	15
26149	15
26199	15
26249	15
26299	15
26349	15
26399	15
26449	15
26499	15
26549	15
26599	15
26649	15
26699	15
26749	15
26799	15
26849	15
26899	15
26949	15
26999	15
27049	15
27099	15
27149	15
27199	15
27247	15
27247	15
27249	16
27299	16
27349	16
27399	16
27449	16
27499	16
27549	16
27599	16
27649	16
27699	16
27749	16
27799	16
27849	16
27899	16
27949	16
27999	16
28049	16
28099	16
28149	16
28199	16
28249	16
28299	16
28349	16
28399	16
28449	16
28499	16
28549	16
28599	16
28649	16
28699	16
28749	16
28799	16
28849	16
28899	16
28949	16
28950	16
28950	16
28999	17
29049	17
29099	17
29149	17
29199	17
29249	17
29299	17
29349	17
29399	17
29449	17
29499	17
29549	17
29599	17
29649	17
29699	17
29749	17
29799	17
29849	17
29899	17
29949	17
29999	17
30049	17
30099	17
30149	17
30199	17
30249	17
30299	17
30349	17
30399	17
30449	17
30499	17
30549	17
30599	17
30649	17
30653	17
30653	17
30654	18
