step	f1_I-ITEM
804	0.0006583278300240636
1609	0.0
2414	0.0
3219	0.0
4024	0.0
4829	0.002637031488120556
5634	0.17146776616573334
6439	0.6072515249252319
7244	0.7714470028877258
8049	0.8497306108474731
8854	0.8958677649497986
9659	0.9245554804801941
10464	0.9443967342376709
11269	0.9556612968444824
12074	0.9674418568611145
12879	0.9704824686050415
13684	0.9767133593559265
14489	0.9803439974784851
15294	0.9844383597373962
16099	0.9878244400024414
16904	0.9859526753425598
17709	0.988403856754303
18514	0.9899123311042786
19319	0.991127073764801
20124	0.9927310347557068
20929	0.993584930896759
21734	0.9933949708938599
22539	0.9945313930511475
23344	0.994907557964325
24149	0.99434494972229
24954	0.9957559108734131
25759	0.9953786730766296
26564	0.9965117573738098
27369	0.9961324334144592
28174	0.9959460496902466
28979	0.9973595142364502
29784	0.9973595142364502
30589	0.9964191317558289
31394	0.9975476264953613
32199	0.9983969926834106
33004	0.9975489974021912
33809	0.9965097904205322
34614	0.9980186820030212
35419	0.9978312253952026
36224	0.9983972907066345
37029	0.9983972907066345
37834	0.9990567564964294
38639	0.998491108417511
39444	0.9980175495147705
40249	0.9988681674003601
