step	recall_I-SPELL
1727	0.3628450036048889
3455	0.8244753479957581
5183	0.9242458939552307
6911	0.9709764719009399
8639	0.9873338341712952
10367	0.9918010830879211
12095	0.9932519197463989
13823	0.9938929677009583
15551	0.9945475459098816
17279	0.9949996471405029
19007	0.9951211214065552
20735	0.995262861251831
22463	0.9953978061676025
24191	0.9953505396842957
25919	0.9956137537956238
27647	0.9957419633865356
29375	0.995829701423645
31103	0.9956070184707642
32831	0.9958094358444214
34559	0.9958836436271667
36287	0.9960118532180786
38015	0.9953775405883789
