step	recall_macro
1702	0.7683287858963013
3405	0.9078898429870605
5108	0.923414945602417
6811	0.9333570003509521
8514	0.9393181204795837
10217	0.9443837404251099
11920	0.9485392570495605
13623	0.9520211219787598
15326	0.9551196098327637
17029	0.9572135806083679
18732	0.959793210029602
20435	0.9617645740509033
22138	0.9640874862670898
23841	0.9655202627182007
25544	0.9670147895812988
27247	0.9684988260269165
28950	0.969845712184906
30653	0.9716997146606445
32356	0.9725478887557983
34059	0.9726329445838928
35762	0.9734286069869995
37465	0.9741017818450928
39168	0.9747745990753174
40871	0.9750901460647583
42574	0.9755951166152954
