step	recall_O
502	0.9129570126533508
1005	0.999803900718689
1508	0.9983310699462891
2011	0.9982088208198547
2514	0.9982498288154602
3017	0.9982748031616211
3520	0.9982767701148987
4023	0.9982560873031616
4526	0.9982506036758423
5029	0.9982369542121887
5532	0.998350203037262
6035	0.998491644859314
6538	0.9986076951026917
7041	0.9987866282463074
7544	0.9988545775413513
8047	0.9990053772926331
8550	0.9990784525871277
9053	0.9991796016693115
9556	0.9992198348045349
10059	0.9992772936820984
10562	0.9993382096290588
11065	0.9993640184402466
11568	0.999410092830658
12071	0.9994378089904785
12574	0.9994553923606873
13077	0.999495267868042
13580	0.9995269179344177
14083	0.999557375907898
14586	0.9995761513710022
15089	0.9995933175086975
15592	0.9996241927146912
16095	0.9996393918991089
16598	0.999657392501831
17101	0.9996652007102966
17604	0.9996953010559082
18107	0.99969881772995
18610	0.9997202754020691
19113	0.9997511506080627
19616	0.9997355341911316
20119	0.9997655749320984
20622	0.9997664093971252
21125	0.9997882843017578
21628	0.999781608581543
22131	0.9998007416725159
22634	0.9998027086257935
23137	0.9998085498809814
23640	0.999818742275238
24143	0.9998222589492798
24646	0.9998401999473572
25149	0.9998351335525513
