step	f1_O
804	0.9765504002571106
1609	0.9920974373817444
2414	0.993185818195343
3219	0.9945178031921387
4024	0.995689868927002
4829	0.9968351125717163
5634	0.9976174235343933
6439	0.9980952739715576
7244	0.9983145594596863
8049	0.9984822273254395
8854	0.9986182451248169
9659	0.9987249374389648
10464	0.9988462924957275
11269	0.9989305734634399
12074	0.9989669919013977
12879	0.999080240726471
13684	0.9991394877433777
14489	0.9991850852966309
15294	0.9992660284042358
16099	0.9992929100990295
16904	0.9993407726287842
17709	0.9993945956230164
18514	0.9994173645973206
19319	0.9994551539421082
20124	0.9994924664497375
20929	0.9995141625404358
21734	0.999561071395874
22539	0.9995648264884949
23344	0.9995842576026917
24149	0.9996049404144287
24954	0.9996292591094971
25759	0.9996576309204102
26564	0.9996597170829773
27369	0.9996836185455322
28174	0.999692976474762
28979	0.9997060298919678
29784	0.999718189239502
30589	0.999729573726654
31394	0.9997406005859375
32199	0.9997587203979492
33004	0.999761700630188
33809	0.9997641444206238
34614	0.9997669458389282
35419	0.9997807741165161
36224	0.9997962713241577
37029	0.9998009204864502
37834	0.9998080134391785
38639	0.9998068809509277
39444	0.999821662902832
40249	0.9998264908790588
