step	recall_B-SPELL
804	0.002829719800502062
1609	0.1857672780752182
2414	0.8664295673370361
3219	0.9188941121101379
4024	0.9321631789207458
4829	0.9437497854232788
5634	0.9494856595993042
6439	0.9582042694091797
7244	0.9629459381103516
8049	0.9656991958618164
8854	0.9710909724235535
9659	0.9742265939712524
10464	0.9763680100440979
11269	0.9787388443946838
12074	0.9794654250144958
12879	0.9818362593650818
13684	0.9839394092559814
14489	0.9854307770729065
15294	0.987189769744873
16099	0.987572193145752
16904	0.9880310297012329
17709	0.9901342391967773
18514	0.9898665547370911
19319	0.9904401302337646
20124	0.9917402863502502
20929	0.9919697046279907
21734	0.9933463335037231
22539	0.9925432801246643
23344	0.9931169152259827
24149	0.9939963817596436
24954	0.9938817024230957
25759	0.9943405389785767
26564	0.9946464896202087
27369	0.9948759078979492
28174	0.9948759078979492
28979	0.9956789612770081
29784	0.9957171678543091
30589	0.9964437484741211
31394	0.9964054822921753
32199	0.996902585029602
33004	0.9965202212333679
33809	0.9965966939926147
34614	0.9969790577888489
35419	0.9967879056930542
36224	0.9973996877670288
37029	0.996864378452301
37834	0.9970937967300415
38639	0.9975526928901672
39444	0.9973996877670288
40249	0.9974379539489746
