step	precision_O
644	0.9457102417945862
1289	0.9830796122550964
1934	0.9886915683746338
2579	0.9909409880638123
3224	0.9928144216537476
3869	0.9940935373306274
4514	0.9950615167617798
5159	0.9956586360931396
5804	0.9963265061378479
6449	0.9967904686927795
7094	0.9972788095474243
7739	0.9976963996887207
8384	0.9980651140213013
9029	0.9983516931533813
9674	0.9985767006874084
10319	0.9987161159515381
10964	0.9988771677017212
11609	0.9990033507347107
12254	0.999122142791748
12899	0.9991801381111145
13544	0.9992901682853699
14189	0.9993307590484619
14834	0.9993975162506104
15479	0.9994325041770935
16124	0.9994412660598755
16769	0.9995241761207581
17414	0.9995536208152771
18059	0.9995752573013306
18704	0.9996093511581421
19349	0.9996153712272644
19994	0.9996535778045654
20639	0.9996775388717651
21284	0.9996918439865112
21929	0.9997028708457947
22574	0.9997259378433228
23219	0.9997318983078003
23864	0.9997636675834656
24509	0.9997618198394775
25154	0.9997793436050415
25799	0.9997710585594177
26444	0.9997954964637756
27089	0.9998111128807068
27734	0.9998111128807068
28379	0.9998106956481934
29024	0.9998180270195007
29669	0.9998382925987244
30314	0.9998424649238586
30959	0.9998088479042053
31604	0.9998512268066406
32249	0.9998484253883362
