step	f1_B-MONSTER
804	0.00030567016801796854
1609	0.0
2414	0.19055970013141632
3219	0.5206388235092163
4024	0.5752850770950317
4829	0.6237057447433472
5634	0.6676502823829651
6439	0.7040561437606812
7244	0.7217545509338379
8049	0.744702160358429
8854	0.7635723948478699
9659	0.7796170711517334
10464	0.7974187731742859
11269	0.8147920370101929
12074	0.816832423210144
12879	0.8354918360710144
13684	0.8475675582885742
14489	0.8544215559959412
15294	0.8661417365074158
16099	0.8720793724060059
16904	0.8775861859321594
17709	0.8880138397216797
18514	0.8920988440513611
19319	0.8982367515563965
20124	0.9012855291366577
20929	0.903066873550415
21734	0.9103360176086426
22539	0.9178071022033691
23344	0.9175850749015808
24149	0.9178279638290405
24954	0.9237927198410034
25759	0.9290665984153748
26564	0.9261107444763184
27369	0.9338836073875427
28174	0.9343454837799072
28979	0.9347878694534302
29784	0.93890780210495
30589	0.9395831823348999
31394	0.94109046459198
32199	0.9438037872314453
33004	0.9450638890266418
33809	0.9420372247695923
34614	0.9440690279006958
35419	0.9487870335578918
36224	0.9495757222175598
37029	0.9525445699691772
37834	0.9534161686897278
38639	0.9523731470108032
39444	0.9563365578651428
40249	0.9540503025054932
