step	precision_macro
1727	0.7277877330780029
3455	0.8401193618774414
5183	0.8662511110305786
6911	0.8796167373657227
8639	0.8898800611495972
10367	0.8981706500053406
12095	0.904985249042511
13823	0.9107285737991333
15551	0.9157567024230957
17279	0.920551061630249
19007	0.9244577884674072
20735	0.9278562068939209
22463	0.9313374757766724
24191	0.9349510669708252
25919	0.9378496408462524
27647	0.9395787715911865
29375	0.9425361752510071
31103	0.9452205896377563
32831	0.9464265704154968
34559	0.9506653547286987
36287	0.9516782760620117
38015	0.9531335830688477
39743	0.9546725749969482
41471	0.9555750489234924
43199	0.9560815691947937
44927	0.9561516642570496
46655	0.9571554064750671
48383	0.957687258720398
