step	f1_B-SPELL
1727	0.39158374071121216
3455	0.8283953070640564
5183	0.8676461577415466
6911	0.8874082565307617
8639	0.9022585153579712
10367	0.911979079246521
12095	0.9212210178375244
13823	0.9287063479423523
15551	0.9349120855331421
17279	0.9394475221633911
19007	0.9446132183074951
20735	0.9485539197921753
22463	0.9516186714172363
24191	0.9561673402786255
25919	0.9585986137390137
27647	0.9614704251289368
29375	0.9640854597091675
31103	0.9652370810508728
32831	0.9682816863059998
34559	0.9693894386291504
36287	0.9710811376571655
38015	0.9734967350959778
39743	0.9748333096504211
41471	0.9763449430465698
43199	0.9765850305557251
44927	0.9785795211791992
46655	0.9795433282852173
