step	f1_B-OBJECT
1702	0.6572622656822205
3405	0.8522334694862366
5108	0.8783502578735352
6811	0.8926889300346375
8514	0.9023025631904602
10217	0.909775972366333
11920	0.9160228967666626
13623	0.9214913249015808
15326	0.926265299320221
17029	0.929901123046875
18732	0.9336786270141602
20435	0.9362717866897583
22138	0.9396075010299683
23841	0.942153811454773
25544	0.944690465927124
27247	0.9471613764762878
28950	0.948794424533844
30653	0.9515032768249512
32356	0.9527071714401245
34059	0.9532217979431152
35762	0.9542334675788879
37465	0.955322802066803
39168	0.9563840627670288
40871	0.9568300843238831
42574	0.9581614136695862
