step	f1_I-MONSTER
502	0.008224540390074253
1005	0.0001763202017173171
1508	0.0
2011	0.0005291938432492316
2514	0.03513934463262558
3017	0.2600678503513336
3520	0.48485198616981506
4023	0.5828312039375305
4526	0.6301496028900146
5029	0.6583856344223022
5532	0.7095986008644104
6035	0.7453679442405701
6538	0.786351203918457
7041	0.8267059326171875
7544	0.8601678013801575
8047	0.8876343965530396
8550	0.9117292761802673
9053	0.9295309782028198
9556	0.9435136318206787
10059	0.9548301100730896
10562	0.962257444858551
11065	0.970064103603363
11568	0.9749303460121155
12071	0.9795467853546143
12574	0.9838610291481018
13077	0.985224723815918
13580	0.9860584139823914
14083	0.9891059994697571
14586	0.989469051361084
15089	0.990739107131958
15592	0.991449236869812
16095	0.9932554364204407
16598	0.9936086535453796
17101	0.9938266277313232
17604	0.9940484166145325
18107	0.9956786036491394
18610	0.9949301481246948
19113	0.9963376522064209
19616	0.996209442615509
20119	0.996558427810669
20622	0.9962064623832703
21125	0.9967369437217712
21628	0.9971341490745544
22131	0.9974424839019775
22634	0.997397780418396
23137	0.9971778988838196
23640	0.9972221255302429
24143	0.9977944493293762
24646	0.9979277849197388
25149	0.9976176023483276
