step	recall_B-MONSTER
1727	0.3555125594139099
3455	0.739501416683197
5183	0.778594434261322
6911	0.8004083633422852
8639	0.8165269494056702
10367	0.8314850926399231
12095	0.840790867805481
13823	0.8503546118736267
15551	0.8571889400482178
17279	0.8657210469245911
19007	0.8735439777374268
20735	0.8774768710136414
22463	0.8831506371498108
24191	0.8875564336776733
25919	0.8909735679626465
27647	0.8956157565116882
29375	0.8996990919113159
31103	0.9028154015541077
32831	0.9056093096733093
34559	0.9117988348007202
36287	0.9136900901794434
38015	0.9146357178688049
39743	0.9160541296005249
41471	0.9199011325836182
43199	0.9183322787284851
44927	0.9202235341072083
46655	0.9215774536132812
48383	0.9232538342475891
