step	f1_I-OBJECT
1702	0.7881056070327759
3405	0.8973539471626282
5108	0.9144295454025269
6811	0.9249389171600342
8514	0.9314653873443604
10217	0.9368508458137512
11920	0.9413057565689087
13623	0.9448152780532837
15326	0.9479455947875977
17029	0.9503908157348633
18732	0.9531694054603577
20435	0.9549441337585449
22138	0.9572909474372864
23841	0.9592670202255249
25544	0.9606782793998718
27247	0.9625439643859863
28950	0.963884711265564
30653	0.9663946628570557
32356	0.967354416847229
34059	0.9673690795898438
35762	0.9687055945396423
37465	0.9694213271141052
39168	0.9702872037887573
40871	0.9709412455558777
42574	0.9716169834136963
