step	recall_I-MONSTER
804	0.0003800354606937617
1609	0.0
2414	0.048707880079746246
3219	0.5090575218200684
4024	0.6980618238449097
4829	0.7704585790634155
5634	0.8389282822608948
6439	0.8983405232429504
7244	0.9332404136657715
8049	0.9543324112892151
8854	0.969280481338501
9659	0.9754243493080139
10464	0.9833417534828186
11269	0.9869521260261536
12074	0.9899290800094604
12879	0.9917025566101074
13684	0.9925892949104309
14489	0.9939827919006348
15294	0.9953762292861938
16099	0.995629608631134
16904	0.9967697262763977
17709	0.9961363077163696
18514	0.9969597458839417
19319	0.9975297451019287
20124	0.9977831244468689
20929	0.998226523399353
21734	0.9975297451019287
22539	0.9983531832695007
23344	0.9983531832695007
24149	0.9987965822219849
24954	0.9986065626144409
25759	0.9989866018295288
26564	0.9987332224845886
27369	0.9989866018295288
28174	0.9989232420921326
28979	0.999176561832428
29784	0.9988598823547363
30589	0.9987965822219849
31394	0.9986698627471924
32199	0.9990499019622803
33004	0.9990499019622803
33809	0.9991132616996765
34614	0.9996199607849121
35419	0.9996833205223083
36224	0.9993665814399719
37029	0.999176561832428
37834	0.9992399215698242
38639	0.9996199607849121
39444	0.9993665814399719
40249	0.9996833205223083
