step	precision_I-SPELL
1727	0.6745280027389526
3455	0.8492909669876099
5183	0.948458194732666
6911	0.9804508090019226
8639	0.989363431930542
10367	0.9914866089820862
12095	0.992173969745636
13823	0.9928544759750366
15551	0.9932807087898254
17279	0.9935179948806763
19007	0.9936258792877197
20735	0.993780791759491
22463	0.9937883019447327
24191	0.9938281774520874
25919	0.994037389755249
27647	0.9942994117736816
29375	0.9941190481185913
31103	0.9941847324371338
32831	0.9941657781600952
34559	0.9943738579750061
36287	0.994133472442627
38015	0.994183361530304
