step	precision_I-OBJECT
1702	0.8238627314567566
3405	0.8938222527503967
5108	0.9103209972381592
6811	0.9196776747703552
8514	0.925446093082428
10217	0.9302055835723877
11920	0.9346059560775757
13623	0.9380078911781311
15326	0.9412156343460083
17029	0.944183886051178
18732	0.947165846824646
20435	0.9484462141990662
22138	0.9506932497024536
23841	0.953167736530304
25544	0.95470130443573
27247	0.956817626953125
28950	0.9581285715103149
30653	0.9609897136688232
32356	0.9621222615242004
34059	0.9620314836502075
35762	0.9637063145637512
37465	0.9646924138069153
39168	0.9655849933624268
40871	0.9666787981987
42574	0.9675190448760986
