step	precision_I-MONSTER
1727	0.4818354547023773
3455	0.8099843263626099
5183	0.9168627262115479
6911	0.9598401188850403
8639	0.9812276363372803
10367	0.9890897274017334
12095	0.9914431571960449
13823	0.9933774471282959
15551	0.993916928768158
17279	0.9945278167724609
19007	0.9944490194320679
20735	0.9949135184288025
22463	0.9951178431510925
24191	0.9951058030128479
25919	0.995032548904419
27647	0.99515300989151
29375	0.9952596426010132
31103	0.9952461123466492
32831	0.9952718019485474
34559	0.9952518939971924
36287	0.9953324794769287
38015	0.9955636858940125
