step	recall_I-ITEM
1727	0.2325250208377838
3455	0.8157705068588257
5183	0.8837929964065552
6911	0.9133695960044861
8639	0.9306827187538147
10367	0.9442225098609924
12095	0.9531750082969666
13823	0.9614246487617493
15551	0.9669737219810486
17279	0.9717736840248108
19007	0.9746869206428528
20735	0.9777759313583374
22463	0.9798476099967957
24191	0.9820764660835266
25919	0.9835839867591858
27647	0.9847862720489502
29375	0.9865342378616333
31103	0.9879307746887207
32831	0.9892162680625916
34559	0.9899006485939026
36287	0.9906682968139648
38015	0.9914728999137878
39743	0.9921388030052185
41471	0.9919538497924805
43199	0.9930636286735535
44927	0.9937480092048645
46655	0.9938497543334961
