step	precision_B-MONSTER
1727	0.48820042610168457
3455	0.7285109758377075
5183	0.8006266355514526
6911	0.8268335461616516
8639	0.843860924243927
10367	0.8502256870269775
12095	0.857561469078064
13823	0.8589317202568054
15551	0.8625068664550781
17279	0.8640204668045044
19007	0.8656025528907776
20735	0.8670147061347961
22463	0.8669019937515259
24191	0.8675439357757568
25919	0.8678401112556458
27647	0.8699710965156555
29375	0.8682592511177063
31103	0.8682665824890137
32831	0.8714048862457275
34559	0.869464635848999
36287	0.8696273565292358
38015	0.8701145648956299
