step	loss
49	1.6127156019210815
99	0.9452438950538635
149	0.4821591079235077
199	0.26389244198799133
249	0.15464669466018677
299	0.10054126381874084
349	0.06856632232666016
399	0.04871403053402901
449	0.03575115650892258
499	0.02658296376466751
549	0.021386966109275818
599	0.01656596176326275
649	0.013597937300801277
699	0.011183689348399639
749	0.009285341016948223
799	0.008034694008529186
849	0.006934531964361668
899	0.005924550350755453
949	0.0050215586088597775
999	0.004429013002663851
1049	0.0040338062681257725
1099	0.0034556968603283167
1149	0.003192929783836007
1199	0.002812323160469532
1249	0.002502672141417861
1299	0.0023394732270389795
1349	0.002093747491016984
1399	0.00190547329839319
1449	0.001708194613456726
1499	0.0016156124183908105
1549	0.0014712653355672956
1599	0.0013124980032444
1649	0.001242486061528325
1699	0.0011798546183854342
1749	0.0010457276366651058
1799	0.000982550554908812
1849	0.0009369716863147914
1899	0.0008795451140031219
1949	0.0007975709158927202
1999	0.0007433102582581341
2049	0.0007403503404930234
2099	0.0006675450713373721
2149	0.0006256777560338378
2199	0.0005803134408779442
2249	0.0005572325317189097
2299	0.0005123841110616922
2349	0.0005041701951995492
2399	0.00046181210200302303
2449	0.00043207252747379243
2499	0.0004098273057024926
2549	0.0003918736183550209
2599	0.00036855912185274065
2649	0.0003484498884063214
2699	0.0003431615186855197
2749	0.00030615634750574827
2799	0.000306635134620592
2849	0.0002843048423528671
2899	0.00027448826585896313
2949	0.00025122534134425223
2999	0.00023489727755077183
3049	0.00023569935001432896
3099	0.00022124545648694038
3149	0.0002222682087449357
3199	0.00020161294378340244
3249	0.00019293336663395166
3299	0.00017981372366193682
3349	0.0001795851276256144
3399	0.00016802096797619015
3449	0.0001586628204677254
3499	0.00015041719598229975
3549	0.00014572410145774484
3599	0.00014160932914819568
3649	0.00013243021385278553
3699	0.00012888542551081628
3749	0.00012085398338967934
3799	0.00012148751557106152
3849	0.00010985703556798398
3899	0.00011504990106914192
3949	0.00010497267794562504
3999	0.00010642174311215058
4049	9.50138783082366e-05
4099	9.407038305653259e-05
4149	9.323684935225174e-05
4199	9.195243183057755e-05
